Typical Measured Spectrum of Semrock FF01-549/15 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
452.6	2.8392e-09
452.8	3.041e-09
453.0	3.2571e-09
453.2	3.4887e-09
453.4	3.7367e-09
453.6	4.0023e-09
453.8	4.2868e-09
454.0	4.5915e-09
454.2	4.9178e-09
454.4	5.2674e-09
454.6	5.6418e-09
454.8	6.0429e-09
455.0	6.4724e-09
455.2	6.9325e-09
455.4	7.4253e-09
455.6	7.9531e-09
455.8	8.5184e-09
456.0	9.124e-09
456.2	9.7725e-09
456.4	1.0467e-08
456.6	1.1211e-08
456.8	1.2008e-08
457.0	1.252e-08
457.2	1.2065e-08
457.4	1.1627e-08
457.6	1.1204e-08
457.8	1.0797e-08
458.0	1.0405e-08
458.2	1.0027e-08
458.4	9.6631e-09
458.6	9.3121e-09
458.8	8.9739e-09
459.0	8.6479e-09
459.2	8.3338e-09
459.4	8.0311e-09
459.6	7.7394e-09
459.8	7.4582e-09
460.0	7.1873e-09
460.2	6.9263e-09
460.4	6.6747e-09
460.6	6.4322e-09
460.8	6.1986e-09
461.0	5.9735e-09
461.2	5.7565e-09
461.4	5.5474e-09
461.6	5.3459e-09
461.8	5.1517e-09
462.0	4.961e-09
462.2	4.7667e-09
462.4	4.58e-09
462.6	4.4007e-09
462.8	4.2283e-09
463.0	4.0627e-09
463.2	3.9036e-09
463.4	3.7508e-09
463.6	3.6039e-09
463.8	3.4627e-09
464.0	3.3271e-09
464.2	3.1968e-09
464.4	3.0716e-09
464.6	2.9513e-09
464.8	2.8358e-09
465.0	2.7247e-09
465.2	2.618e-09
465.4	2.5155e-09
465.6	2.417e-09
465.8	2.3223e-09
466.0	2.2314e-09
466.2	2.144e-09
466.4	2.06e-09
466.6	1.9793e-09
466.8	1.9018e-09
467.0	1.9022e-09
467.2	2.1685e-09
467.4	2.472e-09
467.6	2.8181e-09
467.8	3.2125e-09
468.0	3.6622e-09
468.2	4.1748e-09
468.4	4.7592e-09
468.6	5.4254e-09
468.8	6.1848e-09
469.0	7.0505e-09
469.2	8.0374e-09
469.4	9.1624e-09
469.6	1.0445e-08
469.8	1.1907e-08
470.0	1.3574e-08
470.2	1.5474e-08
470.4	1.764e-08
470.6	2.0109e-08
470.8	2.2923e-08
471.0	2.6132e-08
471.2	2.979e-08
471.4	3.396e-08
471.6	3.8713e-08
471.8	4.4132e-08
472.0	4.9179e-08
472.2	5.0785e-08
472.4	5.2444e-08
472.6	5.4157e-08
472.8	5.5926e-08
473.0	5.7753e-08
473.2	5.964e-08
473.4	6.1588e-08
473.6	6.3599e-08
473.8	6.5677e-08
474.0	6.7822e-08
474.2	7.0038e-08
474.4	7.2325e-08
474.6	7.4688e-08
474.8	7.7128e-08
475.0	7.9647e-08
475.2	8.2249e-08
475.4	8.4935e-08
475.6	8.771e-08
475.8	9.0575e-08
476.0	9.3533e-08
476.2	9.6589e-08
476.4	9.9744e-08
476.6	1.03e-07
476.8	1.0637e-07
477.0	1.0881e-07
477.2	1.0766e-07
477.4	1.0652e-07
477.6	1.0539e-07
477.8	1.0427e-07
478.0	1.0317e-07
478.2	1.0207e-07
478.4	1.0099e-07
478.6	9.9919e-08
478.8	9.886e-08
479.0	9.7812e-08
479.2	9.6775e-08
479.4	9.5749e-08
479.6	9.4734e-08
479.8	9.3729e-08
480.0	9.2736e-08
480.2	9.1753e-08
480.4	9.078e-08
480.6	8.9818e-08
480.8	8.8866e-08
481.0	8.7923e-08
481.2	8.6991e-08
481.4	8.6069e-08
481.6	8.5157e-08
481.8	8.4254e-08
482.0	8.3687e-08
482.2	8.4188e-08
482.4	8.4692e-08
482.6	8.5199e-08
482.8	8.5709e-08
483.0	8.6222e-08
483.2	8.6738e-08
483.4	8.7257e-08
483.6	8.7779e-08
483.8	8.8304e-08
484.0	8.8833e-08
484.2	8.9364e-08
484.4	8.9899e-08
484.6	9.0437e-08
484.8	9.0978e-08
485.0	9.1523e-08
485.2	9.2071e-08
485.4	9.2622e-08
485.6	9.3176e-08
485.8	9.3733e-08
486.0	9.4294e-08
486.2	9.4859e-08
486.4	9.5426e-08
486.6	9.5998e-08
486.8	9.6572e-08
487.0	9.7263e-08
487.2	9.8299e-08
487.4	9.9346e-08
487.6	1.004e-07
487.8	1.0147e-07
488.0	1.0256e-07
488.2	1.0365e-07
488.4	1.0475e-07
488.6	1.0587e-07
488.8	1.07e-07
489.0	1.0814e-07
489.2	1.0929e-07
489.4	1.1045e-07
489.6	1.1163e-07
489.8	1.1282e-07
490.0	1.1402e-07
490.2	1.1524e-07
490.4	1.1646e-07
490.6	1.177e-07
490.8	1.1896e-07
491.0	1.2023e-07
491.2	1.2151e-07
491.4	1.228e-07
491.6	1.2411e-07
491.8	1.2543e-07
492.0	1.2601e-07
492.2	1.2432e-07
492.4	1.2265e-07
492.6	1.21e-07
492.8	1.1938e-07
493.0	1.1778e-07
493.2	1.162e-07
493.4	1.1464e-07
493.6	1.131e-07
493.8	1.1158e-07
494.0	1.1009e-07
494.2	1.0861e-07
494.4	1.0715e-07
494.6	1.0572e-07
494.8	1.043e-07
495.0	1.029e-07
495.2	1.0152e-07
495.4	1.0016e-07
495.6	9.8813e-08
495.8	9.7488e-08
496.0	9.618e-08
496.2	9.489e-08
496.4	9.3617e-08
496.6	9.2361e-08
496.8	9.1122e-08
497.0	9.0253e-08
497.2	9.0424e-08
497.4	9.0595e-08
497.6	9.0766e-08
497.8	9.0938e-08
498.0	9.111e-08
498.2	9.1282e-08
498.4	9.1454e-08
498.6	9.1627e-08
498.8	9.1801e-08
499.0	9.1974e-08
499.2	9.2148e-08
499.4	9.2322e-08
499.6	9.2497e-08
499.8	9.2672e-08
500.0	9.2847e-08
500.2	9.3023e-08
500.4	9.3199e-08
500.6	9.3375e-08
500.8	9.3551e-08
501.0	9.3728e-08
501.2	9.3905e-08
501.4	9.4083e-08
501.6	9.4261e-08
501.8	9.4439e-08
502.0	9.4519e-08
502.2	9.4297e-08
502.4	9.4074e-08
502.6	9.3853e-08
502.8	9.3632e-08
503.0	9.3411e-08
503.2	9.3191e-08
503.4	9.2971e-08
503.6	9.2752e-08
503.8	9.2534e-08
504.0	9.2316e-08
504.2	9.2098e-08
504.4	9.1881e-08
504.6	9.1665e-08
504.8	9.1449e-08
505.0	9.1233e-08
505.2	9.1019e-08
505.4	9.0804e-08
505.6	9.059e-08
505.8	9.0377e-08
506.0	9.0164e-08
506.2	8.9951e-08
506.4	8.9739e-08
506.6	8.9528e-08
506.8	8.9317e-08
507.0	8.9484e-08
507.2	9.0929e-08
507.4	9.2397e-08
507.6	9.3888e-08
507.8	9.5404e-08
508.0	9.6944e-08
508.2	9.8509e-08
508.4	1.001e-07
508.6	1.0172e-07
508.8	1.0336e-07
509.0	1.0503e-07
509.2	1.0672e-07
509.4	1.0845e-07
509.6	1.102e-07
509.8	1.1198e-07
510.0	1.1378e-07
510.2	1.1562e-07
510.4	1.1749e-07
510.6	1.1938e-07
510.8	1.2131e-07
511.0	1.2327e-07
511.2	1.2526e-07
511.4	1.2728e-07
511.6	1.2934e-07
511.8	1.3142e-07
512.0	1.3243e-07
512.2	1.3222e-07
512.4	1.3202e-07
512.6	1.3181e-07
512.8	1.316e-07
513.0	1.3139e-07
513.2	1.3118e-07
513.4	1.3098e-07
513.6	1.3077e-07
513.8	1.3056e-07
514.0	1.3036e-07
514.2	1.3015e-07
514.4	1.2994e-07
514.6	1.2974e-07
514.8	1.2953e-07
515.0	1.2933e-07
515.2	1.2912e-07
515.4	1.2892e-07
515.6	1.2872e-07
515.8	1.2851e-07
516.0	1.2831e-07
516.2	1.2811e-07
516.4	1.279e-07
516.6	1.277e-07
516.8	1.275e-07
517.0	1.273e-07
517.2	1.271e-07
517.4	1.269e-07
517.6	1.267e-07
517.8	1.265e-07
518.0	1.263e-07
518.2	1.2615e-07
518.4	1.2795e-07
518.6	1.2976e-07
518.8	1.316e-07
519.0	1.3347e-07
519.2	1.3537e-07
519.4	1.3729e-07
519.6	1.3924e-07
519.8	1.4121e-07
520.0	1.4322e-07
520.2	1.4525e-07
520.4	1.4731e-07
520.6	1.4941e-07
520.8	1.5153e-07
521.0	1.5368e-07
521.2	1.5586e-07
521.4	1.5807e-07
521.6	1.6032e-07
521.8	1.6468e-07
522.0	1.7209e-07
522.2	1.7984e-07
